task_id,has_shadow_delete,has_recovery_disable,has_backup_delete,has_firewall_disable,has_eventlog_clear,has_persist_schtask,has_self_copy,has_process_enum,has_process_kill,has_service_access,has_rm_session,has_dir_enumerate,has_file_encrypt,has_file_rename,has_file_delete,has_crypto_api,has_ransom_note,has_wallpaper_set,has_registry_write,has_network,ord_penum_pkill,ord_penum_svc,ord_penum_dir,ord_penum_enc,ord_penum_ren,ord_penum_note,ord_penum_wall,ord_penum_reg,ord_pkill_svc,ord_pkill_dir,ord_pkill_enc,ord_pkill_ren,ord_pkill_note,ord_pkill_wall,ord_pkill_reg,ord_svc_dir,ord_svc_enc,ord_svc_ren,ord_svc_note,ord_svc_wall,ord_svc_reg,ord_dir_enc,ord_dir_ren,ord_dir_note,ord_dir_wall,ord_dir_reg,ord_enc_ren,ord_enc_note,ord_enc_wall,ord_enc_reg,ord_ren_note,ord_ren_wall,ord_ren_reg,ord_note_wall,ord_note_reg,ord_wall_reg
1029,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
1030,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
1031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,0,,1,1,,,,1,1,,,,,,,1,,,,,
1034,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,1,1,,0,1,,0,,0,
1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,0,,1,1,,,,1,1,,,,,,,1,,,,,
1038,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,,,,,,,,,,,,,,,,0,,1,1,,,,1,1,,,,,,,1,,,,,
1042,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,,,,,,,,,0,0,,1,1,1,0,0,,1,1,1,0,,1,1,1,1,,,,,1,1,0,1,0,0
1046,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,0,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0
1050,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,1,1,,0,1,1,1,,0,1,1,,0,1,,0,,0,
1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,0,,,,,,,,,0,0,,1,1,,0,0,,1,1,,0,,1,1,,1,,,,,0,,0,,0,
1054,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1
1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,0,,,,0,0,,,,1,1,,,,,,,,,,0
1057,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,,1,1,1,1,1,0,0,,,,,,,,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
1058,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,,,,0,1,0,0,,,,0,0,0,,,,0,1,,,,1,,,,0,,,,,,
1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
1065,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
1066,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
1069,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
106,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,,0,0,0,0,0,0,,1,1,1,1,1,,1,1,1,1,,0,0,0,,0,0,,0,,
1070,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,,0,1,1,1,1,1,,1,0,0,0,1,,0,1,1,1,,0,0,1,,0,1,,0,,0,
1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
